Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,County,Constituency,Sub-Location,Spatial Reference Method,Facility Type,Agency,Geolocation,Facility Type NAME
14,KAMUKUYWA DISP,4670,WESTERN,BUNGOMA,KIMILILI,KAMUKUYWA,BUNGOMA,KANDUYI,MAKHONGE,1:50000 MAPS,4,MISS,"(0.80855900000, 34.79729700000)",Dispensary
15,KAMUSINGA DISP,2214,WESTERN,BUNGOMA,KIMILILI,KIBINGEI,BUNGOMA,KANDUYI,CHEBUKWABI,ILRI VILLAGES,4,MISS,"(0.80000000000, 34.70000000000)",Dispensary
16,KAPTANAI DISP,4239,WESTERN,BUNGOMA,SIRISIA,NAMWELA,BUNGOMA,KANDUYI,MENU,1:50000 MAPS,4,MISS,"(0.78918900000, 34.53780000000)",Dispensary
17,KARIMA DISP,2216,WESTERN,BUNGOMA,TONGAREN,MBAKALO,BUNGOMA,KANDUYI,MBAKALO,DDP,4,MOH,"(0.73637700000, 34.83960000000)",Dispensary
18,KAVUJAI DISP,0,WESTERN,BUNGOMA,CENTRAL,KABUCHAI,BUNGOMA,KANDUYI,KISIWA,1:50000 MAPS,4,MOH,"(0.64361700000, 34.55760000000)",Dispensary
21,KIMAETI DISP,3118,WESTERN,BUNGOMA,BUMULA,KIMAETI,BUNGOMA,KANDUYI,MYANGA/SYOMBE,1:50000 MAPS,4,MOH,"(0.60372300000, 34.40690000000)",Dispensary
24,KIMININI DISP(TABANI),3191,WESTERN,BUNGOMA,TONGAREN,TONGAREN,BUNGOMA,KANDUYI,TONGAREN,DDP,4,MISS,"(0.78500000000, 34.96890000000)",Dispensary
25,KIMOBO (FRIENDS) DISP,3192,WESTERN,BUNGOMA,KIMILILI,KIBINGEI,BUNGOMA,KANDUYI,CHEBUKWABI,ILRI VILLAGES,4,MISS,"(0.79000000000, 34.68000000000)",Dispensary
26,KIPSIROK DISP,0,WESTERN,BUNGOMA,KANDUYI,E.BUKUSU,BUNGOMA,KANDUYI,E. SANGALO,ILRI MKT CENTRES,4,MISS,"(0.54046400000, 34.63162200000)",Dispensary
28,KONGOLI DISP,0,WESTERN,BUNGOMA,WEBUYE,SITIKHO,BUNGOMA,KANDUYI,KHALUMULI,DDP,4,MOH,"(0.55747800000, 34.68960000000)",Dispensary
29,KOROSIANDET DISP,3121,WESTERN,BUNGOMA,MALAKISI,NAMUBILA,BUNGOMA,KANDUYI,MACHAKHA,DDP,4,MOH,"(0.74445600000, 34.43910000000)",Dispensary
31,LUKHUNA DISP,3194,WESTERN,BUNGOMA,TONGAREN,KIMININI,BUNGOMA,KANDUYI,KIMININI(BUNGOMA),DDP,4,MISS,"(0.79985700000, 34.92390000000)",Dispensary
32,LUKUSI DISP,0,WESTERN,BUNGOMA,NDIVISI,LUKUSI,BUNGOMA,KANDUYI,MISIMO,DDP,4,MOH,"(0.65558400000, 34.82230000000)",Dispensary
33,MACHWELE DISP,3116,WESTERN,BUNGOMA,BUMULA,BUMULA,BUNGOMA,KANDUYI,NORTH MYANGA,ILRI MKT CENTRES,4,MISS,"(0.55173200000, 34.45956800000)",Dispensary
34,MAKHONGE DISP,3557,WESTERN,BUNGOMA,KIMILILI,KAMUKUYWA,BUNGOMA,KANDUYI,MAKHONGE,DDP,4,MOH,"(0.83217400000, 34.78650000000)",Dispensary
36,MALOMONY DISP,0,WESTERN,BUNGOMA,NDIVISI,LUKUSI,BUNGOMA,KANDUYI,LUTACHO,DDP,4,MOH,"(0.69598000000, 34.82230000000)",Dispensary
37,MAYEKWE (FRIENDS) DISP,3193,WESTERN,BUNGOMA,MALAKISI,LWANDANYI,BUNGOMA,KANDUYI,MAYEKWE,ILRI VILLAGES,4,MISS,"(0.80000000000, 34.42000000000)",Dispensary
39,MILO DISP,3831,WESTERN,BUNGOMA,WEBUYE,WEBUYE,BUNGOMA,KANDUYI,MATULO,DDP,4,MOH,"(0.60595400000, 34.70460000000)",Dispensary
42,MUHANDA DISP,3117,WESTERN,BUNGOMA,MALAKISI,NAMUBILA,BUNGOMA,KANDUYI,WANONO,ILRI VILLAGES,4,MISS,"(0.78000000000, 34.48000000000)",Dispensary
44,MUKUYUNI DISP,4238,WESTERN,BUNGOMA,TONGAREN,NAITIRI,BUNGOMA,KANDUYI,MILIMA,DDP,4,MISS,"(0.77677300000, 34.82460000000)",Dispensary
47,NGWELO DISP,3196,WESTERN,BUNGOMA,KANDUYI,E.BUKUSU,BUNGOMA,KANDUYI,WEST SANGALO,ILRI MKT CENTRES,4,MISS,"(0.54587500000, 34.60153300000)",Dispensary
48,SHIKENDU DISP,0,WESTERN,BUNGOMA,KIMILILI,MAENI,BUNGOMA,KANDUYI,SIKHENDI,DDP,4,MOH,"(0.76523100000, 34.76810000000)",Dispensary
49,SIRAKARU (FRIENDS) DISP,3197,WESTERN,BUNGOMA,KIMILILI,KIMILILI,BUNGOMA,KANDUYI,TOWNSHIP(KIMILILI),ILRI MKT CENTRES,4,MISS,"(0.77726200000, 34.70810700000)",Dispensary
51,SITUKHO DISP,0,WESTERN,BUNGOMA,WEBUYE,SITIKHO,BUNGOMA,KANDUYI,SITIKHO,DDP,4,MOH,"(0.47437700000, 34.66300000000)",Dispensary
52,SOY SAMBU DISP,3123,WESTERN,BUNGOMA,KIMILILI,KAMUKUYWA,BUNGOMA,KANDUYI,NABIKOTO,ILRI VILLAGES,4,MISS,"(0.77000000000, 34.80000000000)",Dispensary
53,ST LAOS MEDICAL DISP,0,WESTERN,BUNGOMA,KANDUYI,E.BUKUSU,BUNGOMA,KANDUYI,E. SANGALO,ILRI MKT CENTRES,4,NGO,"(0.54046400000, 34.63162200000)",Dispensary
55,ST. ANTHONY HC (KIBABII),2217,WESTERN,BUNGOMA,KANDUYI,KIBABII,BUNGOMA,KANDUYI,TUUTI,ILRI VILLAGES,4,MISS,"(0.62000000000, 34.52000000000)",Dispensary
56,TAMLEGA DISP,3122,WESTERN,BUNGOMA,MALAKISI,MALAKISI,BUNGOMA,KANDUYI,TAMULEGA,SUBLOC CENTROID,4,MOH,"(0.71358100000, 34.41710700000)",Dispensary
57,TEREMI (FRIENDS) DISP,3198,WESTERN,BUNGOMA,CHWELE,CHWELE,BUNGOMA,KANDUYI,SIKULU,ILRI VILLAGES,4,MISS,"(0.75000000000, 34.63000000000)",Dispensary
58,TONGARENI DISP,2236,WESTERN,BUNGOMA,TONGAREN,TONGAREN,BUNGOMA,KANDUYI,TONGAREN,1:50000 MAPS,4,MOH,"(0.78831500000, 34.96080000000)",Dispensary
1,ACTION AID CLINIC (NAMBALE),3166,WESTERN,BUSIA,NAMBALE,NAMBALE T/SHIP,BUSIA,TESO NORTH,NAMBALE TOWNSHIP,ILRI MKT CENTRES,4,NGO,"(0.45188900000, 34.24956900000)",Dispensary
2,AGENGA DISP,2244,WESTERN,BUSIA,FUNYULA,AGENGA,BUSIA,TESO NORTH,AGENGA,AMKENI,4,MOH,"(0.25266300000, 34.07066800000)",Dispensary
43,BUDALANGI DISP,0,WESTERN,BUSIA,BUDALANGI,BUNYALA EAST,BUSIA,TESO NORTH,BUDALANGI,AMKENI,4,MOH,"(0.13035500000, 34.02776500000)",Dispensary
3,BUDUTA DISP,2243,WESTERN,BUSIA,FUNYULA,AGENGA,BUSIA,TESO NORTH,AJIBO,AMKENI,4,MOH,"(0.22236000000, 34.10953300000)",Dispensary
4,BUJUMBA ACK DISP,3199,WESTERN,BUSIA,BUTULA,BUJUMBA,BUSIA,TESO NORTH,BUJUMBA,AMKENI,4,MISS,"(0.32243900000, 34.21409200000)",Dispensary
7,BUSEMBE DISP,2480,WESTERN,BUSIA,FUNYULA,BWIRI,BUSIA,TESO NORTH,BUSEMBE,AMKENI,4,MOH,"(0.18494800000, 34.01643500000)",Dispensary
9,BUSIBWABU DISPENSARY,0,WESTERN,BUSIA,MATAYOS,BUSIBWABO,BUSIA,TESO NORTH,NAKHAKINA,AMKENI,4,MOH,"(0.41086000000, 34.20122300000)",Dispensary
10,BUTULA CATHOLIC MISSION,2255,WESTERN,BUSIA,BUTULA,ELUKHARI,BUSIA,TESO NORTH,SIKARILA,AMKENI,4,MISS,"(0.34324800000, 34.33362700000)",Dispensary
11,BWALIRO DISPENSARY,0,WESTERN,BUSIA,BUTULA,ELUGULU,BUSIA,TESO NORTH,BWALIRO,AMKENI,4,MOH,"(0.37824500000, 34.31619900000)",Dispensary
12,HAKATI DISP,1508,WESTERN,BUSIA,BUDALANGI,BUNYALA NORTH,BUSIA,TESO NORTH,MUNDERE,SUBLOC CENTROID,4,MOH,"(0.13774500000, 34.01142500000)",Dispensary
13,IGARA DISP,2945,WESTERN,BUSIA,NAMBALE,WALATSI,BUSIA,TESO NORTH,KHWIRALE,AMKENI,4,MOH,"(0.53293800000, 34.36314800000)",Dispensary
14,KHAYO DISP,4474,WESTERN,BUSIA,NAMBALE,BUKHAYO EAST,BUSIA,TESO NORTH,MADIBO,AMKENI,4,MOH,"(0.51051000000, 34.38897200000)",Dispensary
17,MADENDE DISP,2944,WESTERN,BUSIA,NAMBALE,BUKHAYO EAST,BUSIA,TESO NORTH,MUNGATSI,AMKENI,4,MOH,"(0.47665000000, 34.34651800000)",Dispensary
18,MADUWA DISP,2247,WESTERN,BUSIA,BUDALANGI,BUNYALA SOUTH,BUSIA,TESO NORTH,OBARO,HD MAPS,4,MOH,"(-0.00561000000, 34.02230000000)",Dispensary
19,MALANGA DISP,2946,WESTERN,BUSIA,BUTULA,ELUGULU,BUSIA,TESO NORTH,MUKHWESO(BUSIA),AMKENI,4,MOH,"(0.40382300000, 34.29667200000)",Dispensary
22,MUNDONGO DISPENSARY,0,WESTERN,BUSIA,MATAYOS,BUKHAYO WEST,BUSIA,TESO NORTH,MUNDIKA,AMKENI,4,MOH,"(0.38079300000, 34.12123300000)",Dispensary
25,NAMBOBOTO MISSION DISP,3200,WESTERN,BUSIA,FUNYULA,NAMBOBOTO,BUSIA,TESO NORTH,BULOMA,GPS,4,MISS,"(0.30717000000, 34.09106000000)",Dispensary
26,NAMBUKU DISP,2248,WESTERN,BUSIA,FUNYULA,NAMBUKU,BUSIA,TESO NORTH,LUGALA,AMKENI,4,MOH,"(0.31827700000, 34.11036500000)",Dispensary
27,NANGINA DISP,2249,WESTERN,BUSIA,FUNYULA,NANGOSIA,BUSIA,TESO NORTH,BUKHULUNGU,AMKENI,4,MOH,"(0.27726000000, 34.09862300000)",Dispensary
30,RUKALA DISP,2250,WESTERN,BUSIA,BUDALANGI,BUNYALA SOUTH,BUSIA,TESO NORTH,RUKALA,AMKENI,4,MOH,"(0.05662200000, 33.99211200000)",Dispensary
32,SIRIMBA DISPENSARY (ST. JUDE),0,WESTERN,BUSIA,BUDALANGI,BUNYALA EAST,BUSIA,TESO NORTH,MUDEMBI,AMKENI,4,MISS,"(0.14420700000, 34.05892700000)",Dispensary
1,AHMADIYA MEDICAL DISP,0,WESTERN,BUTERE/MUMIAS,MUMIAS,SHIBINGA,KAKAMEGA,SHINYALU,LUBINU,AMKENI,4,MISS,"(0.31409200000, 34.57570700000)",Dispensary
2,APOSTLES CHURCH MEDICAL DISP,0,WESTERN,BUTERE/MUMIAS,BUTERE,CENTRAL MARAMA,KAKAMEGA,SHINYALU,MUTOMA,AMKENI,4,MISS,"(0.26038300000, 34.50626000000)",Dispensary
3,BOOKERS DISPENSARY,0,WESTERN,BUTERE/MUMIAS,MUMIAS,NABONGO,KAKAMEGA,SHINYALU,NUCLEUS,AMKENI,4,NGO,"(0.36129900000, 34.50384000000)",Dispensary
4,BUCHIFI DISP,0,WESTERN,BUTERE/MUMIAS,MUMIAS,ETENJE,KAKAMEGA,SHINYALU,BUKAYA,DSA/DFH(MOH)-UNFPA REPORT,4,MISS,"(0.25384900000, 34.43380000000)",Dispensary
9,ELWASAMBI DISP,4391,WESTERN,BUTERE/MUMIAS,MUMIAS,SHIBINGA,KAKAMEGA,SHINYALU,LUBINU,AMKENI,4,MOH,"(0.28893300000, 34.56794000000)",Dispensary
10,EMUHAKA DISP,6140,WESTERN,BUTERE/MUMIAS,KHWISERO,WEST KISA,KAKAMEGA,SHINYALU,MUHAKA,DSA/DFH(MOH)-UNFPA REPORT,4,MOH,"(0.13341100000, 34.48010000000)",Dispensary
11,EMUNUKU BAPTIST DISP,0,WESTERN,BUTERE/MUMIAS,BUTERE,WEST MARAMA,KAKAMEGA,SHINYALU,BUMAMU,AMKENI,4,MISS,"(0.23254200000, 34.57420500000)",Dispensary
14,ESHINUTSA DISP,0,WESTERN,BUTERE/MUMIAS,KHWISERO,EAST KISA,KAKAMEGA,SHINYALU,EMASATSI,AMKENI,4,MOH,"(0.15045000000, 34.63458200000)",Dispensary
15,IKOMERO DISP,0,WESTERN,BUTERE/MUMIAS,KHWISERO,SHIROMBE,KAKAMEGA,SHINYALU,IKOMERO,SUBLOC CENTROID,4,MISS,"(0.15290100000, 34.51131800000)",Dispensary
67,INDANGALASIA DISP,2277,WESTERN,BUTERE/MUMIAS,MATUNGU,KOYONZO,KAKAMEGA,SHINYALU,INDANGALASIA(BM),SUBLOC CENTROID,4,MISS,"(0.32797600000, 34.39812500000)",Dispensary
17,KHAUNGA DISP,0,WESTERN,BUTERE/MUMIAS,MUMIAS,SHIBINGA,KAKAMEGA,SHINYALU,KHAUNGA,AMKENI,4,MOH,"(0.37686600000, 34.58406500000)",Dispensary
19,LUGANYIRO BAPTIST DISP,4215,WESTERN,BUTERE/MUMIAS,MATUNGU,KOYONZO,KAKAMEGA,SHINYALU,MUNAMI,DSA/DFH(MOH)-UNFPA REPORT,4,MISS,"(0.43498800000, 34.37600000000)",Dispensary
20,LUNGANYIRO DISP,3859,WESTERN,BUTERE/MUMIAS,MATUNGU,KOYONZO,KAKAMEGA,SHINYALU,LUNG'ANYIRO,AMKENI,4,MOH,"(0.43260300000, 34.39240000000)",Dispensary
21,LUSHEYA DISP,3657,WESTERN,BUTERE/MUMIAS,MUMIAS,SHIBINGA,KAKAMEGA,SHINYALU,LUSHEYA,AMKENI,4,MOH,"(0.30452700000, 34.53606400000)",Dispensary
23,MANGUNGU DISP,4217,WESTERN,BUTERE/MUMIAS,MUMIAS,SHIBINGA,KAKAMEGA,SHINYALU,MUNG'ANG'A,SUBLOC CENTROID,4,MOH,"(0.34791300000, 34.57623900000)",Dispensary
26,MUHAKA DISP,3829,WESTERN,BUTERE/MUMIAS,KHWISERO,WEST KISA,KAKAMEGA,SHINYALU,MUHAKA,SUBLOC CENTROID,4,MOH,"(0.12871200000, 34.47609500000)",Dispensary
28,MULWANDA DISP,3945,WESTERN,BUTERE/MUMIAS,KHWISERO,MULWANDA,KAKAMEGA,SHINYALU,MULWANDA,AMKENI,4,MISS,"(0.14194300000, 34.56703300000)",Dispensary
29,MUMIAS DISP,2288,WESTERN,BUTERE/MUMIAS,MUMIAS,NABONGO,KAKAMEGA,SHINYALU,MATAWA,AMKENI,4,MOH,"(0.33447700000, 34.48058000000)",Dispensary
32,MUNGANGA DISP,3091,WESTERN,BUTERE/MUMIAS,MUMIAS,SHIBINGA,KAKAMEGA,SHINYALU,MAKUNGA,AMKENI,4,MOH,"(0.30000000000, 34.61000000000)",Dispensary
33,MUSANDA ACK DISP,4636,WESTERN,BUTERE/MUMIAS,MUMIAS,ETENJE,KAKAMEGA,SHINYALU,MUSANDA,AMKENI,4,MISS,"(0.21979100000, 34.44721900000)",Dispensary
35,MUTSASA  DISP,2267,WESTERN,BUTERE/MUMIAS,KHWISERO,CENTRAL KISA,KAKAMEGA,SHINYALU,EMUTSASA,ILRI MKT CENTRES,4,MISS,"(0.15000000000, 34.54000000000)",Dispensary
38,NAMUTUNGU DISP,4216,WESTERN,BUTERE/MUMIAS,MATUNGU,MATUNGU,KAKAMEGA,SHINYALU,NAMULUNGU,AMKENI,4,MISS,"(0.45128700000, 34.46232000000)",Dispensary
39,RED CROSS DISP,4223,WESTERN,BUTERE/MUMIAS,BUTERE,TOWNSHIP,KAKAMEGA,SHINYALU,SHIROTSA,ILRI MKT CENTRES,4,NGO,"(0.21382600000, 34.49365900000)",Dispensary
40,SHIANDA DISP,2294,WESTERN,BUTERE/MUMIAS,MUMIAS,SHIBINGA,KAKAMEGA,SHINYALU,LUBINU,AMKENI,4,MISS,"(0.31586200000, 34.57624900000)",Dispensary
41,SHIKUNGA DISP,3827,WESTERN,BUTERE/MUMIAS,BUTERE,TOWNSHIP,KAKAMEGA,SHINYALU,SHIROTSA,AMKENI,4,MOH,"(0.21743000000, 34.49912500000)",Dispensary
45,SHISISIA DISP,3208,WESTERN,BUTERE/MUMIAS,BUTERE,TOWNSHIP,KAKAMEGA,SHINYALU,SHIROTSA,ILRI MKT CENTRES,4,MISS,"(0.21382600000, 34.49365900000)",Dispensary
46,ST. JAMES BUTOBE DISP,3202,WESTERN,BUTERE/MUMIAS,MATUNGU,KOYONZO,KAKAMEGA,SHINYALU,NANYENI,AMKENI,4,MISS,"(0.40939100000, 34.44821100000)",Dispensary
1,ACTION AID CLINIC (KAKAMEGA),3168,WESTERN,KAKAMEGA,MUNICIPALITY,SHIEYWE,KAKAMEGA,SHINYALU,TOWNSHIP(KAKAMEGA),ILRI MKT CENTRES,4,NGO,"(0.29018200000, 34.75269300000)",Dispensary
2,AHAMADIYYA MUSLIM DISP,0,WESTERN,KAKAMEGA,KABRAS,KABRAS EAST,KAKAMEGA,SHINYALU,KAKUNGA,ILRI MKT CENTRES,4,MISS,"(0.38509400000, 34.87387000000)",Dispensary
3,BUDONGA DISP,4466,WESTERN,KAKAMEGA,NAVAKHOLO,BUNYALA WEST,KAKAMEGA,SHINYALU,BUDONGA,AMKENI,4,MOH,"(0.39804500000, 34.61019000000)",Dispensary
5,BUKWALA DISP,0,WESTERN,KAKAMEGA,IKOLOMANI,IGUHU,KAKAMEGA,SHINYALU,IVONDA,ILRI VILLAGES,4,MISS,"(0.15000000000, 34.74000000000)",Dispensary
6,BUSHIANGALA DISP.,2270,WESTERN,KAKAMEGA,IKOLOMANI,ISULU,KAKAMEGA,SHINYALU,SHIBUNAME,AMKENI,4,MISS,"(0.18720200000, 34.68387500000)",Dispensary
10,CHEBWAYI HEALTH DISP,4212,WESTERN,KAKAMEGA,IKOLOMANI,IGUHU,KAKAMEGA,SHINYALU,SHIVEYE,ILRI VILLAGES,4,MISS,"(0.16382800000, 34.80026200000)",Dispensary
11,CHOMBELI DISP.,3662,WESTERN,KAKAMEGA,KABRAS,SHIRUGU,KAKAMEGA,SHINYALU,SAMITSI,AMKENI,4,MOH,"(0.45620600000, 34.75150500000)",Dispensary
16,EMATSAYI MISSION DISP,2273,WESTERN,KAKAMEGA,LURAMBI,BUTSOTSO SOUTH,KAKAMEGA,SHINYALU,ESHIBULI,DSA/DFH(MOH)-UNFPA REPORT,4,MISS,"(0.26634400000, 34.66270000000)",Dispensary
18,ESHIKHUYU DISP,0,WESTERN,KAKAMEGA,LURAMBI,BUTSOTSO SOUTH,KAKAMEGA,SHINYALU,ESHIBULI,AMKENI,4,MOH,"(0.26474500000, 34.65574400000)",Dispensary
19,ESHSHURU DISP,4467,WESTERN,KAKAMEGA,SHINYALU,MURHANDA,KAKAMEGA,SHINYALU,KAKAMEGA FOREST,ILRI VILLAGES,4,MOH,"(0.27000000000, 34.92000000000)",Dispensary
22,INDANGALASIA YMCA DISP,0,WESTERN,KAKAMEGA,LURAMBI,SHIKOTI,KAKAMEGA,SHINYALU,INDANGALASIA(KK),SUBLOC CENTROID,4,NGO,"(0.34324200000, 34.77240200000)",Dispensary
23,INGOTSE DISP,2278,WESTERN,KAKAMEGA,LURAMBI,BUTSOTSO NORTH,KAKAMEGA,SHINYALU,INGOTSE,AMKENI,4,MISS,"(0.35540900000, 34.69787700000)",Dispensary
98,ST. FRANCIS RARE DISP,3504,RIFT VALLEY,NAKURU,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
8,CHEPSONOI DISP,0,RIFT VALLEY,NANDI,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
12,KACHEMOMU DISP,4421,RIFT VALLEY,NANDI,,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
27,KAPTUNGER DISP,4422,RIFT VALLEY,NANDI,,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
32,KIMGOROR MISSION DISP,3018,RIFT VALLEY,NANDI,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
37,KIPCHOMO DISP,3799,RIFT VALLEY,NANDI,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
22,KOLOCH DISP,0,RIFT VALLEY,NANDI,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
0,CHEMUNDA MUNICIPAL DISP,0,RIFT VALLEY,NANDI,KIPKAREN,CHEMUNDU,,,,,4,LA,"(0E-11, 0E-11)",Dispensary
0,CHEMUSWO DISP,0,RIFT VALLEY,NANDI,KABIYET,KAMUENYWO,,,KIPNGELO,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,CHEPKUMEL H C,0,RIFT VALLEY,NANDI,KABIYET,KABIYET,,,KABIYET,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,KABISAGA DISP,0,RIFT VALLEY,NANDI,KABIYET,KABISANGA,,,KABISANGA,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,KAPKENYELOI DISP,0,RIFT VALLEY,NANDI,KABIYET,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,KAPNYEBERAI DISP,0,RIFT VALLEY,NANDI,KIPKAREN,KILIBWINI,,,TERIGE,,4,MISS,"(0E-11, 0E-11)",Dispensary
0,KAPSAMOCH DISP,0,RIFT VALLEY,NANDI,,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,KAPTEL DISP,0,RIFT VALLEY,NANDI,KAPSABET,KAPTEL,,,KAPTEL,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,KAPTICH DISP,0,RIFT VALLEY,NANDI,KOSIRAI,KOSIRAI,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,KIMONA DISP,0,RIFT VALLEY,NANDI,KAPSABET,KULUKUNG,,,SALURE,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,KIMONG DISP,0,RIFT VALLEY,NANDI,,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,KIROPKET DISP,0,RIFT VALLEY,NANDI,KAPSABET,KIPTWEYA,,,KAPTONGE,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,LELMOKWO DISP,0,RIFT VALLEY,NANDI,KOSIRAI,LELMOKWO,,,LELMOKWO,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,POTOPOTO DISP,0,RIFT VALLEY,NANDI,TINDERET,CHEMELIL,,,CHEMELIL,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,SIWO DISP,0,RIFT VALLEY,NANDI,KILIBWONI,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,ST BONIFACE TINDINYO DISP,0,RIFT VALLEY,NANDI,KAPSABET,KAPKANGANI,,,KAPKANGANI,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,ST PETERS DISP,0,RIFT VALLEY,NANDI,KAPSABET,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
0,TABOLWA DISP,0,RIFT VALLEY,NANDI,KABIYET,TABOLWA,,,TABOLWA,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,KAPWERIA COG DISP,3180,RIFT VALLEY,NAROK,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
30,NGITO AGC DISP,0,RIFT VALLEY,TRANS MARA,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
1,AIC KIBISH DISP,0,RIFT VALLEY,TURKANA,KIBISH,KIBISH,,,KIBISH,DDP,4,MISS,"(5.35292400000, 35.82801600000)",Dispensary
2,AMREF LOPIANGE DISP,4440,RIFT VALLEY,TURKANA,,,,,,,4,NGO,"(0E-11, 0E-11)",Dispensary
36,KIBISH DISP,2144,RIFT VALLEY,TURKANA,KIBISH,KIBISH,,,KIBISH,DISTRICT ESTIMATES,4,MOH,"(5.38702400000, 35.77948900000)",Dispensary
37,KIPCHARA DISP,4002,RIFT VALLEY,TURKANA,,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
38,KOIBET DISP,4001,RIFT VALLEY,TURKANA,,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
72,MAKUTANO DISP,2154,RIFT VALLEY,TURKANA,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
81,NARIOKOTOME DISP,359,RIFT VALLEY,TURKANA,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
82,NASHULUKUI DISP,4416,RIFT VALLEY,TURKANA,,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
2,AMUKURIAT DISP (UASIN GISHU),1871,RIFT VALLEY,UASIN GISHU,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
7,CARENGENI FOREST DISP,1873,RIFT VALLEY,UASIN GISHU,,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
11,CHENGALO DISP,2992,RIFT VALLEY,UASIN GISHU,,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,CHEPNGOROR DISP,0,RIFT VALLEY,UASIN GISHU,AINABKOI,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,DELIVERANCE CHURCH DISP,0,RIFT VALLEY,UASIN GISHU,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
18,DOICESE OF ELDORET CPK,2993,RIFT VALLEY,UASIN GISHU,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
0,ELDORET MUNICIPALITY,0,RIFT VALLEY,UASIN GISHU,,,,,,,4,LA,"(0E-11, 0E-11)",Dispensary
0,IMMACULATE SISTERS DISP,0,RIFT VALLEY,UASIN GISHU,AINABKOI,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
0,KAPLELACH RIRONI DISP,0,RIFT VALLEY,UASIN GISHU,KAPSERET,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
0,KAPYEMIT DISP,0,RIFT VALLEY,UASIN GISHU,MUNICIPALITY,,,,,,4,LA,"(0E-11, 0E-11)",Dispensary
39,KOITOROR RCEA DISP,0,RIFT VALLEY,UASIN GISHU,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
0,KUINET DISP,0,RIFT VALLEY,UASIN GISHU,,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
41,LANGAS DISP,0,RIFT VALLEY,UASIN GISHU,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
43,LORENGE DIPENSARY,1894,RIFT VALLEY,UASIN GISHU,,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
44,MARY IMMACULATE DISP,2052,RIFT VALLEY,UASIN GISHU,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
0,MOGOON DISP,0,RIFT VALLEY,UASIN GISHU,SOY,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
51,NDULAT DISP,1899,RIFT VALLEY,UASIN GISHU,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
0,OGATTA DISP,0,RIFT VALLEY,UASIN GISHU,,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
54,OUR LADY OF LORDS DISP,3618,RIFT VALLEY,UASIN GISHU,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
56,PENON DISP,1901,RIFT VALLEY,UASIN GISHU,,,,,,,4,MOH,"(0E-11, 0E-11)",Dispensary
57,RURIGI DISP,1905,RIFT VALLEY,UASIN GISHU,,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
0,ST KEVINA DISP,0,RIFT VALLEY,UASIN GISHU,MUNICIPALITY,,,,,,4,MISS,"(0E-11, 0E-11)",Dispensary
